Unique Optimal Words (No Overlap),Unique Optimal Words (Single Overlap),Unique Optimal Words (Double Overlap)
aurei,aurei,aurei
stoln,lotes,aloes
pygmy,hymen,yenta
,pecke,ached
,wedge,gambe
,feeze,apeak
,qajaq,awave
,,feaze
,,jesse
,,sexes
,,esses
,,queue
,,taata
,,anana
,,nanna
,,peepe
,,ayaya
,,mamma
,,cocco
,,susus
